S0001	Structural dynamics are fundamental to protein functions and mutation effects.
S0076	Since high-resolution data are limited, we further used low-resolution dynamics data, including coarse-grained MD trajectories of human IDRs from IDRome (24) and NMA [we used the Gaussian Network Model (28) (GNM) and the Anisotropic Network Model (29) (ANM)] for representative structures in the PDB (36). (The Anisotropic Network Model is a simplified normal-mode method that estimates direction-specific protein motions.)
S0077	Overall, we collected 7,799 high-resolution data and 56,604 low-resolution data, covering ordered domains, IDRs, membrane proteins, antibodies, and protein complexes (see Table 1 and SI Appendix, Supplementary Methods for details).
S0078	We extracted residue-level and pairwise dynamic properties that describe the distribution of properties in structure ensembles (Figure 1C and SI Appendix, Table S1).
S0079	Residue-level properties include normalized RMS fluctuation (RMSF), solvent-accessible surface area (SASA), eight-class secondary structures, and dihedral angles (phi, psi, chi1) which describe the rotations around bonds in the protein backbone and side chains. (SASA measures how much of a residue or protein surface is exposed to surrounding solvent.)
S0080	Pairwise properties include the correlation of Cα movements and frequencies of hydrogen bonds, salt bridges, Pi–cation, Pi–stacking, T-stacking, hydrophobic interactions, and van der Waals interactions.
S0081	For NMA data, we categorized normal modes of each structure into three frequency-based clusters.
S0082	For each cluster, we calculated residue fluctuation and pairwise movement correlation (see SI Appendix, Table S1 and Supplementary Methods for details).
S0083	We developed two models, SeqDance and ESMDance, both consisting of Transformer encoders and dynamic property predic tion heads (task-specific output layers).
S0084	Both models take protein sequence as the only input, use the encoder’s final layer embed dings and attention maps to predict residue-level and pairwise dynamic properties (Figure 1C).
S0085	The Transformer encoder follows the same architecture as ESM2-35M (35 million parameters) with 12 layers and 20 heads per layer, the dynamic property prediction heads contain 1.2 million trainable parameters in total.
S0086	The key difference between the two models lies in their initialization and use of prior knowledge.
S0087	In SeqDance, all parameters were ran domly initialized, allowing the model to learn dynamic properties from scratch.
S0088	In contrast, ESMDance retains and freezes all parameters from ESM2-35M, enabling it to leverage the evolu tionary information already encoded in ESM2 to predict dynamic properties (see Methods for details).
S0089	To balance contributions of different properties from different data sources, we adjusted their respective weights in the loss func tion (see Methods for details).
S0090	We clustered sequences using a 50% sequence identity cutoff (same to ESM2 training), then randomly chose 95% of the clusters as the training set, reserving the remain ing 5% as the test set (no validation set was used, since we did not perform hyperparameter tuning; see Methods).
S0091	The training and test losses are shown in SI Appendix, Figure S1.
S0092	SeqDance and ESMDance achieve comparable overall test losses, with SeqDance performing better on the IDRome test set and NMA test set, while ESMDance performing better on the high-resolution test set.
S0093	After pretraining, we observed strong correlations between the weights of linear layers used to predict comovement in MD simulations and those used for comovement in NMA, in both models (SI Appendix, Figure S2).
S0094	This result confirms that NMA effectively captures dynamic motions similar to those observed in MD sim ulations, supporting its use as a complementary source for aug menting model pretraining.
S0095	PED (35) GPCRmd (34) mdCATH (32) ATLAS (33) IDRome (24) Disordered regions Membrane proteins CATH domains Ordered structures in PDB Disordered regions 382 509 5,392 1,516 28,058 Experiment and others All-atom MD, ~500 ns × 3 All-atom MD, ~464 ns × 5 All-atom MD, 100 ns × 3 Coarse-grained MD To assess the direct utility of SeqDance and ESMDance, we evaluated them on the test IDRome and high-resolution datasets, comparing performance on IDRs against the IDR conformation generative model STARLING (31) and on the high-resolution dataset against two NMA methods: GNM and ANM.
S0096	We focused on residue fluctuation and pairwise movement correla tion [only residue pairs farther than five amino acids were con sidered as recommended in CASP (37)], as they can be directly calculated from STARLING-generated ensemble and normal modes.
S0097	For test IDRs, SeqDance achieves median Pearson cor relations of 0.87 for residue fluctuation and 0.89 for pairwise movement correlation, ESMDance achieves median correlations of 0.82 and 0.83 for two tasks (Figure 1 D and E).
S0098	As a baseline, we used STARLING to generate 200 conformations for each test IDR, extracted dynamic properties from the generated ensemble.
S0099	This approach achieves median correlations of 0.82 and 0.85 for two tasks (Figure 1 D and E), comparable to ESMDance but not as good as SeqDance.
S0100	For high-resolution ordered test proteins, SeqDance achieves median Pearson corre lations of 0.54 for residue fluctuation and 0.27 for pairwise movement correlation, while ESMDance achieves 0.60 and 0.37, respectively (Figure 1 F and G).
S0101	As baselines, we used GNM and ANM (low-frequency 5 or 20 modes for GNM, 5 × 3 or 20 × 3 modes for ANM) to calculate dynamic properties.
S0102	ESMDance is comparable to ANM in predicting residue fluctuation and comparable to GNM with five modes in predicting pairwise correlation, but overall, both SeqDance and ESMDance lag behind GNM and ANM when using 20 normal modes for ordered proteins (Figure 1 F and G).
S0103	Taken together, by being trained on protein dynamic properties, SeqDance and ESMDance can be directly applied to predict residue-level and pairwise dynamic properties for proteins dissim ilar to those in the training set.
S0104	They shows superior per formance on IDRs for both residue-level and pairwise dynamics, and satisfactory performance on residue-level dynamics of ordered proteins, using sequence as the only input (NMA takes structure as input).
S0105	SeqDance performs better on IDRs, whereas ESMDance performs better on ordered proteins, consistent with the trends observed in the test losses (SI Appendix, Figure S1) and in line with the fact that evolutionary information is more informative for ordered proteins but less effective for IDRs.
S0106	In the following, we first assessed SeqDance’s attention mechanism and embeddings, then compared its predicted dynamic properties with mutation effect on protein stability, and examined the advantage of ESMDance compared to ESM2 and SeqDance on predicting mutation effects.
S0107	SeqDance’s Attentions Capture Dynamic Interactions and Comovement.
S0108	The Transformer model employs self-attention mechanism (38) to aggregate information from other tokens, with attention values representing the relationship between tokens (in protein context, amino acids). (Attention lets a model decide which other residues are most relevant when interpreting a given residue.)
S0109	Here, we evaluated whether SeqDance’s attention mechanism captures dynamic interactions and residue comovement.
S0110	The analysis was conducted on the test dataset, which included 404 high-resolution proteins, 1,355 IDRome proteins, and 1,274 proteins with NMA.
S0111	Additionally, we evaluated an independent test set comprising 29 MD trajectories from the Dynamic PDB dataset (39).
S0112	All test proteins share less than 50% sequence identity with the SeqDance training sequences, allowing us to assess the model’s ability to generalize to unseen proteins.
S0113	The Dynamic PDB test set was generated using a different MD force field to those used in pretraining, enabling us to further evaluate SeqDance’s generalization ability across different simulation conditions.
S0114	For all analyses, only residue pairs farther than five amino acids were considered as recommended in CASP (37).
S0115	We compared the dynamic properties (interaction frequency and movement correlation) of residue pairs to attention values from each attention head.
S0116	We calculated Spearman correlations for all 240 attention heads and highlighted the top five heads in Figure 2. (Spearman correlation measures whether two quantities tend to rise and fall together by rank, not by exact numerical scale.)
S0117	For interaction frequency, the best attention heads of SeqDance achieve median Spearman correlations of 0.41 on the high-resolution test set, 0.52 on the IDRome test set, and 0.52 on the Dynamic PDB test set (Figure 2 A–C; the best attention head for different data may be different).
S0118	For residue pairs with positive movement correlation in the MD ensemble, SeqDance performs particularly well on the IDRome test set, achieving a median Spearman correlation of 0.74 for the best attention head.
S0119	In con trast, median Spearman correlations of best attention heads are just 0.22 for both ordered test set (high-resolution and Dynamic PDB; Figure 2 D–F), consistent with our results in Figure 1 E and G.
S0120	SeqDance’s attention do not capture residue pairs with negative movement correlation in the MD ensemble well (SI Appendix, Figure S3 A–C).
S0121	For NMA data, the best attention heads achieve median Spearman correlations of 0.34, 0.29, and 0.22 for posi tively correlated pairs in low-, medium-, and high-frequency modes, respectively (Figure 2 G–I), and Spearman correlations of –0.04, –0.26, and –0.35 for negatively correlated pairs in three frequency modes (SI Appendix, Figure S3 D–F; negative correlation means better capturing this property).
S0122	We further evaluated ESM2-35M, as ESMDance was trained with ESM’s parameters frozen and thus shares identical atten tions.
S0123	We note that the test proteins are dissimilar to SeqDance’s training data, but appear in, or have homologs in, the ESM2 training data.
S0124	Previous studies showed that ESM’s attention heads capture both native interactions observed in PDB struc tures (40) and nonnative interactions observed in MD simula tions (25) via learning evolutionary information.
S0125	Across all evaluations, ESM2-35M and SeqDance show comparable per formances (Figure 2 and SI Appendix, Figure S3).
S0126	SeqDance performs slightly better on four evaluations (interaction frequencies, neg atively correlated pairs in the MD ensemble, and both positively and negatively correlated pairs in NMA), while ESM2-35M performs slightly better on one evaluation (positively correlated pairs in the MD ensemble).
S0127	Overall, these results demonstrated that our pretraining strategy enables SeqDance’s attention to capture dynamic interactions and residue comovement directly from sequence, performing comparable to ESM2 on unseen proteins and different simulation conditions.
S0128	ESM2’s ability to capture dynamic properties enabled us to train ESMDance, achieving comparable test loss to SeqDance with far fewer train able parameters (SI Appendix, Figure S1).
S0129	SeqDance’s Embeddings Encode Global Protein Conformation Properties.
S0130	Next, to assess SeqDance’s generalization capability, we investigated whether SeqDance learns protein conformational properties not included in the pretraining tasks.
S0131	Specifically, we considered end-to-end distance (Re ), asphericity, and radius of gyration (Rg ), which quantify motion range, deviation from a spherical shape, and compactness, respectively.
S0132	Since these properties cannot be directly obtained from the model, we trained linear regression models using its embeddings in a supervised manner.
S0133	To ensure a fair comparison with other pLMs in Figure 1B (ESMDance embedding is identical to ESM2-35M), we applied principal component analysis to the mean-pooled embeddings from each method and used the top 200 components as input for linear regression.
S0134	Spearman r: attention values vs. interaction frequency Spearman r: attention values vs.
S0135	MD co-move (positive) Spearman r: attention values vs.
S0136	NMA co-move (positive) We first evaluated these pLMs on structure ensembles of IDRs (41) generated using a different coarse-grained force field com pared to SeqDance training set.
S0137	After removing IDRs with over 20% sequence identity and 50% coverage to any SeqDance train ing sequence, 28,717 IDRs remained (see Methods for details).
S0138	We used mean Re, asphericity, and Rg in the ensemble (see Methods for how we account for the intrinsic length dependence of Rg and Re ).
S0139	The training and test sets were split in a 6:4 ratio using a 20% sequence identity cutoff to prevent information leakage.
S0140	Linear regression model was trained for each pLM, and the experiment was repeated 20 times.
S0141	SeqDance significantly outperforms the randomly initialized model prior to pretraining and other pLMs (Figure 3 A–C), reducing the MAEs (mean absolute errors) of the random model, ESM2-650M, METL, and ProSE by 31%, 25%, 29%, and 31% on average, respectively.
S0142	For ordered proteins, obtaining conformational properties from structure ensembles is challenging due to the computational cost of MD simulations.
S0143	So, we used Rg of over 10,000 static monomer structures in the PDB database from the paper (42) (see Methods for details).
S0144	Since SeqDance was trained on NMA of nearly all representative PDB structures (36), we did not exclude sequences with homologs in SeqDance training set.
S0145	Using the same evaluation method described above, SeqDance outperforms the random model, ProSE, and METL, and performs comparably to ESM2 (Figure 3D).
S0146	We also evaluated the performance using Pearson correlation and found similar results (SI Appendix, Figure S4 A–D).
S0147	Notably, even using the full embeddings instead of the first 200 principal components, SeqDance still outperforms other pLMs in most tasks (SI Appendix, Table S2), despite having the shortest embedding size.
S0148	Figure 3 E–H shows the predictions of the linear model using full SeqDance embeddings on test proteins from one experiment.
S0149	SeqDance enables accurate predictions of conforma tional properties observed in MD simulations of IDRs and in PDB structures of ordered proteins.
S0150	We further compared SeqDance with STARLING for IDRs and with ESMFold (3B parameters) for ordered proteins.
S0151	We note that both STARLING and ESMFold were trained on the same datasets used in our eval uation, meaning that a substantial fraction of the test proteins was included in their training sets.
S0152	For IDRs, SeqDance outperforms STARLING when generating 20 conformations but underper forms STARLING when generating 200 conformations (Figure 3 E–G and SI Appendix, Figure S4 E–G).
S0153	For ordered proteins, SeqDance embeddings and ESMFold yield comparable perfor mance (Figure 3H and SI Appendix, Figure S4H).
S0154	Thus, SeqDance provides an efficient alternative for predicting protein conforma tional properties, achieving performance comparable to structureand ensemble-based methods while being orders of magnitude faster.
S0155	SeqDance Predicted Dynamic Property Changes Reflect Mutation Effect on Protein Stability.
S0156	To evaluate whether SeqDance captures information about the biophysics of protein folding, we compared its output with mutation effects on protein folding stability.
S0157	We hypothesized that destabilizing mutations would induce significant changes in protein dynamics, whereas mutations with minimal impact would induce smaller dynamic changes.
S0158	To test this hypothesis, we used SeqDance to predict dynamic properties for both wild-type and mutated sequences, computed their relative changes, and compared these to experimentally measured ΔΔG values (Figure 4A, see Methods for details). (ΔΔG measures how much a mutation changes protein stability; larger destabilizing values usually mean worse folding stability.)
S0159	This approach was framed as a zero-shot prediction, as the model was not specifically trained on mutation data.
S0160	We applied this approach to the megascale protein folding stability dataset (43), which includes ΔΔG values for 379,865 single mutations and 147,926 double mutations across 412 proteins, encompassing both natural and designed proteins.
S0161	To evaluate the zero-shot predictive power of individual dynamic properties, we computed the Spearman correlation between the relative change of each property and the correspond ing ΔΔG values for mutations in each protein.
S0162	While the ran domly initialized model prior to pretraining shows no predictive power, many SeqDance-predicted properties achieve median Spearman correlations above 0.2 (Figure 4B and SI Appendix, Figure S5), confirming that pretraining enables SeqDance to capture meaningful biophysical dynamics.
S0163	Among individual properties, SASA mean emerges as one of the top-performing properties, consistent with the fact that destabilizing mutations disrupt core packing and increase solvent exposure.
S0164	Dihedral angles phi and psi also rank highly, highlighting the role of backbone conforma tional flexibility in protein stability.
S0165	Additionally, pairwise move ment correlations derived from MD simulations and NMA shows relatively high performance, further emphasizing the importance of collective dynamics in predicting mutation effects.
S0166	To integrate these dynamic properties, we used the geometric mean of quantile-normalized relative changes (see SI Appendix, Table S3 and Methods for details).
S0167	The unified score yields a median Spearman correlation of 0.24 across all 412 proteins.
S0168	To assess whether SeqDance’s performance depends on the presence of homologs in its training set, we first analyzed its per formance relative to the most similar protein in the training set.
S0169	SeqDance performs better on proteins with close homologs of over 95% sequence identity in its training set (Figure 4C).
S0170	For the 125 proteins with such close homologs, the median Spearman correlation is 0.29, whereas for the 191 proteins with no homologs in the training set, the median correlation is 0.20.
S0171	Proteins with homologs of 20 to 95% sequence identity show similar perfor mance to those with no homologs.
S0172	We also examined SeqDance’s performance as a function of the number of homologs (defined as over 20% sequence identity and 50% coverage) and observed only a minor correlation (Figure 4D).
S0173	Also, we compared SeqDance with ESM2, which can perform zero-shot prediction of mutation effects by estimating the probability of 20 amino acids based on evolutionary informa tion.
S0174	ESM2-35M achieves a median Spearman correlation of 0.33, outperforming SeqDance.
S0175	This is consistent with the fact that evolutionary information is highly effective in predicting mutation effects.
S0176	But, the performance of ESM2 is strongly dependent on the number of homologs in its training set, UniRef50, par ticularly for proteins with over 100 homologs (Figure 4E; ESM2-650M and -15B in SI Appendix, Figure S6 A and B).
S0177	To iso late the effect of homolog abundance, we evaluated a subset of 257 proteins that have a similar number of homologs (between 0 and 146) in both UniRef50 and the SeqDance training set.
S0178	In this subset, ESM2-35M achieves a median Spearman correlation of 0.22, comparable to SeqDance’s performance of 0.24 (SI Appendix, Figure S6C).
S0179	These results suggest that, given similar model size and training data abundance, SeqDance and ESM2 perform similarly in predicting mutation effect on protein stabil ity.
S0180	Overall, despite being pretrained exclusively on wild-type sequences and without reliance on evolutionary information, SeqDance is able to make meaningful predictions about mutation effect on protein stability, even for proteins with no homologs in the training set.
S0181	ESMDance Enhances Prediction of Mutation Effect on Protein Stability.
S0182	While both ESM2-35M, which leverages evolutionary properties, can predict mutation effect on protein stability, their individual performance remains modest at a model size of 35 million parameters.
S0183	To harness the strengths of both approaches, we developed ESMDance that integrates evolutionary and dynamic information, also with 35 million parameters.
S0184	Using the zero-shot approach illustrated in Figure 4A, ESMDance achieves a median Spearman correlation of 0.46 across 412 proteins (Figure 4F), significantly outperforming both ESM2-35M (0.33) and SeqDance (0.24).
S0185	Remarkably, ESMDance also matches or surpasses SaProt35M (23) (0.45; SI Appendix, Figure S6D), which has similar model architecture but uses structure tokens as additional input, and much larger language models, including ESM2-650M (0.46; SI Appendix, Figure S6A) and ESM2-15B (0.43; SI Appendix, Figure S6B).
S0186	Also, ESMDance shows robust generalization: its performance is independent of the presence of homologs in its training set or in UniRef50 (Figure 4 F and G and SI Appendix, Figure S6E).
S0187	We note that proteins without homologs in UniRef50 also lack homologs in the ESMDance training set.
S0188	Thus, the performance gains observed for these proteins are not attributable to the presence of their dynamic data in the ESMDance training.
S0189	These models’ zero-shot predictions are correlated with ΔΔG, but not on the same physical scale.
S0190	To align them with ΔΔG, we fitted supervised linear regression models.
S0191	For each protein, 50% of mutations were randomly sampled for training and the remaining 50% were used for testing.
S0192	Linear regression models of SeqDance- and ESMDance-predicted dynamic property changes (23 relative changes, Figure 4B) achieve median MAEs of 0.63 and 0.54 kcal/mol and median Spearman correlations of 0.44 and 0.58, respectively, on test mutations from 412 proteins (Figure 4 H and I), significantly outperforming their respective zero-shot correlations.
S0193	As a baseline, a linear regression model using zero-shot predictions from three ESM2 models (35M, 650M, and 15B) achieves a median MAE of 0.56 kcal/mol, better than SeqDance but worse than ESMDance (Figure 4 H and I).
S0194	We further trained regression models using predictions from multiple methods as inputs.
S0195	Adding SaProt-35M predictions to ESM2 decreases the MAE to 0.53 kcal/mol, while adding SeqDance or ESMDance predictions yields larger improvements: ESM2 + SeqDance reaches 0.52 kcal/mol, ESM2 + ESMDance reaches 0.48 kcal/mol, and combining ESM2, SeqDance, and ESMDance achieves the best performance with a median MAE of 0.47 kcal/mol and a median Spearman correlation of 0.70 (Figure 4 H and I).
S0196	Overall, these results shows that by integrating evolu tionary information learned by ESM2 with protein dynamic prop erties, ESMDance achieves superior performance in predicting mutation effect on protein stability.
S0197	Also, our models provide additional information to evolution-based models, and their combination yields even greater predictive power.
S0198	Biophysics-Based Pretraining Improves Mutation Effect Prediction for Designed and Viral Proteins.
S0199	One limitation of ESM2 is that the evolutionary information it learns from natural proteins may fail to generalize to de novo designed proteins.
S0200	To evaluate whether ESMDance can address this limitation, we analyzed a subset of 135 designed proteins that lack homologs in both UniRef50 and the SeqDance/ESMDance training set.
S0201	ESM235M, -650M, and -15B achieve median Spearman correlations of 0.21, 0.32, and 0.29, respectively—significantly lower than their average performances (Figures 4E and 5A and SI Appendix, Figure S6 A and B).
S0202	In contrast, ESMDance achieves a median Spearman correlation of 0.46, much outperforming SeqDance (0.20), SaProt-35M (0.06), and all ESM2 models (Figure 5A).
S0203	Further analysis at the individual protein level revealed that the performances of different ESM2 models are highly correlated (Figure 5B).
S0204	In contrast, both SeqDance and ESMDance exhibit orthogonal performance patterns to ESM2 (Figure 5 C and D), with ESMDance showing significant improvements for most proteins compared to ESM2-35M (Figure 5D).
S0205	Also, we visualized zero-shot predictions for two designed proteins (highlighted in Figure 5 B–D).
S0206	The first, r10_572_TrROS_ Hall (Figure 5E), was designed using TrRosetta spurious invented structure (43).
S0207	Both SeqDance and ESMDance achieve significantly higher correlations (0.52 for both) compared to the ESM2 models (0.18, 0.25, and 0.20 for ESM2-35M, -650M, and -15B, respectively).
S0208	The second, GG|run4_0284_0002 (Figure 5F), was designed using the EEHH method (43).
S0209	Here, both ESM2 and SeqDance perform poorly (0.02, 0.09, −0.02, and 0.18 for ESM2-35M, -650M, -15B, and SeqDance, respectively), whereas ESMDance achieves a markedly higher correlation of 0.53.
S0210	Linear regression models show similar results on test mutations of two proteins (SI Appendix, Figure S7).
S0211	This result underscores the advantage of ESMDance in directly integrat ing dynamic properties and evolutionary information during model training, outperforming separate predictions from two models.
S0212	Additionally, we benchmarked several established structurebased models.
S0213	These included the inverse-folding model Protein MPNN (44), which predicts sequence from structure and whose predicted sequence likelihood correlates with mutation effects on stability, as well as the biophysics-based models Rosetta (45) and FoldX (46) (see Methods for details), which directly estimate muta tion ΔΔG values.
S0214	We note that using the structure as input inher ently simplifies stability prediction, since mutations in buried sites typically have larger effects, whereas surface mutations tend to have smaller effects (Figure 5G).
S0215	We first evaluated Spearman correlation, ESMDance zero-shot outperforms ProteinMPNN but performs below FoldX and Rosetta, while ESMDance linear regression per forms comparably to FoldX and Rosetta (Figure 5H).
S0216	We also assessed the mean absolute error (MAE), and our linear regression models yield much lower MAE than both FoldX and Rosetta raw ΔΔG values.
S0217	After calibrating FoldX and Rosetta raw ΔΔG values with experimental measurements using linear regression, their MAE becomes comparable to—but still slightly higher than—that of ESMDance linear regression model (Figure 5H).
