S0001	How could machines learn as efficiently as humans and animals?
S0060	Once such concepts are acquired, it becomes easy to learn that some objects are static, some have predictable trajectories (inanimate objects), some behave in somewhat unpredictable ways (collective phenomena like water, sand, tree leaves in the wind, etc), and some seem to obey different rules (animate objects).
S0061	Notions of intuitive physics such as stability, gravity, inertia, and others can emerge on top of that.
S0062	The effect of animate objects on the world (including the effects of the subject’s own actions) can be used to deduce cause-and-effect relationships, on top of which linguistic and social knowledge can be acquired.
S0063	Figure 1, courtesy of Emmanuel Dupoux, shows at what age infants seem to acquire basic concepts such as object permanence, basic categories, intuitive physics, etc.
S0064	Concepts at higher levels of abstraction seem to develop on top of lower-level ones.
S0065	Equipped with this knowledge of the world, combined with simple hard-wired behaviors and intrinsic motivations/objectives, animals can quickly learn new tasks, predict the consequences of their actions and plan ahead, foreseeing successful courses of actions and avoiding dangerous situations.
S0066	But can a human or animal brain contain all the world models that are necessary for survival?
S0067	One hypothesis in this paper is that animals and humans have only one world model engine somewhere in their prefrontal cortex.
S0068	That world model engine is dynamically configurable for the task at hand.
S0069	With a single, configurable world model engine, rather than a separate model for every situation, knowledge about how the world works may be shared across tasks.
S0070	This may enable reasoning by analogy, by applying the model configured for one situation to another situation.
S0071	To make things concrete, I will directly dive into a description of the proposed model. action sensory input Figure 2: A system architecture for autonomous intelligence.
S0072	All modules in this model are assumed to be “differentiable”, in that a module feeding into another one (through an arrow connecting them) can get gradient estimates of the cost’s scalar output with respect to its own output.
S0073	The configurator module takes inputs (not represented for clarity) from all other modules and configures them to perform the task at hand. (The configurator is the control module that sets up the other modules for the current task.)
S0074	The perception module estimates the current state of the world.
S0075	The world model module predicts possible future world states as a function of imagined actions sequences proposed by the actor.
S0076	The cost module computes a single scalar output called “energy” that measures the level of discomfort of the agent.
S0077	It is composed of two sub-modules, the intrinsic cost, which is immutable (not trainable) and computes the immediate energy of the current state (pain, pleasure, hunger, etc), and the critic, a trainable module that predicts future values of the intrinsic cost. (The critic is the part of the system that estimates future cost or future badness/goodness.)
S0078	The short-term memory module keeps track of the current and predicted world states and associated intrinsic costs.
S0079	The actor module computes proposals for action sequences.
S0080	The world model and the critic compute the possible resulting outcomes.
S0081	The actor can find an optimal action sequence that minimizes the estimated future cost, and output the first action in the optimal sequence.
S0082	See Section 3 for details.
S0083	Figure 1: This chart, (courtesy of Emmanuel Dupoux), indicates at what age infants generally acquire various concepts about how the world works.
S0084	It is consistent with the idea that abstract concepts, such as the fact that objects are subject to gravity and inertia, are acquired on top of less abstract concepts, like object permanence and the assignment of objects to broad categories.
S0085	Much of this knowledge is acquired mostly by observation, with very little direct intervention, particularly in the first few weeks and months.
S0086	The proposed architecture for autonomous intelligent agents is depicted in Figure 2.
S0087	It is composed of a number of modules whose functions are described below.
S0088	Some of the modules are configurable on the fly, i.e. their precise function is determined by the configurator module.
S0089	The role of the configurator is executive control: given a task to be executed, it pre-configures the perception, the world model, the cost and the actor for the task at hand.
S0090	The configurator modulates the parameters of the modules it feeds into.
S0091	The configurator module takes input from all other modules and configures them for the task at hand by modulating their parameters and their attention circuits.
S0092	In particular, the configurator may prime the perception, world model, and cost modules to fulfill a particular goal.
S0093	The perception module receives signals from sensors and estimates the current state of the world.
S0094	For a given task, only a small subset of the perceived state of the world is relevant and useful.
S0095	The perception module may represent the state of the world in a multi-level fashion, with multiple levels of abstraction.
S0096	The configurator primes the perception system to extract the relevant information from the sensory input for the task at hand.
S0097	The world model module constitutes the most complex piece of the architecture.
S0098	Its role is twofold: (1) estimate missing information about the state of the world not provided by perception, (2) predict plausible future states of the world.
S0099	The world model may predict natural evolutions of the world, or may predict future world states resulting from a sequence of actions proposed by the actor module.
S0100	The world model may predict multiple plausible world states, parameterized by hidden variables that represent the uncertainty about the world state.
S0101	The world model is a kind of “simulator” of the relevant aspects of world.
S0102	What aspects of the world state is relevant depends on the task at hand.
S0103	The configurator configures the world model to handle the situation at hand.
S0104	The predictions are performed within an abstract representation space that contains information relevant to the task at hand.
S0105	Ideally, the world model would manipulate representations of the world state at multiple levels of abstraction, allowing it to predict over multiple time scales.
S0106	A key issue is that the world model must be able to represent multiple possible predictions of the world state.
S0107	The natural world is not completely predictable.
S0108	This is particularly true if it contains other intelligent agents that are potentially adversarial.
S0109	But it is often true even when the world only contains inanimate objects whose behavior is chaotic, or whose state is not fully observable.
S0110	There are two essential questions to answer when building the proposed architectures: (1) How to allow the world model to make multiple plausible prediction and represent uncertainty in the predictions, and (2) how to train the world model.
S0111	The cost module measures the level of “discomfort” of the agent, in the form of a scalar quantity called the energy.
S0112	The energy is the sum of two energy terms computed by two sub-modules: the Intrinsic Cost module and the Trainable Critic module. (Intrinsic cost means the built-in internal scoring function that represents the agent’s basic drives or discomforts.)
S0113	The overall objective of the agent is to take actions so as to remain in states that minimize the average energy.
S0114	The Intrinsic Cost module is hard-wired (immutable, non trainable) and computes a single scalar, the intrinsic energy that measures the instantaneous “discomfort” of the agent – think pain (high intrinsic energy), pleasure (low or negative intrinsic energy), hunger, etc.
S0115	The input to the module is the current state of the world, produced by the perception module, or potential future states predicted by the world model.
S0116	The ultimate goal of the agent is minimize the intrinsic cost over the long run.
S0117	This is where basic behavioral drives and intrinsic motivations reside.
S0118	The design of the intrinsic cost module determines the nature of the agent’s behavior.
S0119	Basic drives can be hard-wired in this module.
S0120	This may include feeling “good” (low energy) when standing up to motivate a legged robot to walk, when influencing the state of the world to motivate agency, when interacting with humans to motivate social behavior, when perceiving joy in nearby humans to motivate empathy, when having a full energy supplies (hunger/satiety), when experiencing a new situation to motivate curiosity and exploration, when fulfilling a particular program, etc.
S0121	Conversely, the energy would be high when facing a painful situation or an easily-recognizable dangerous situation (proximity to extreme heat, fire, etc), or when wielding dangerous tools.
S0122	The intrinsic cost module may be modulated by the configurator, to drive different behavior at different times.
S0123	The Trainable Critic module predicts an estimate of future intrinsic energies.
S0124	Like the intrinsic cost, its input is either the current state of the world or possible states predicted by the world model.
S0125	For training, the critic retrieves past states and subsequent intrinsic costs stored in the associative memory module, and trains itself to predict the latter from the former.
S0126	The function of the critic module can be dynamically configured by the configurator to direct the system towards a particular sub-goal, as part of a bigger task.
S0127	Because both sub-modules of the cost module are differentiable, the gradient of the energy can be back-propagated through the other modules, particularly the world model, the actor and the perception, for planning, reasoning, and learning.
S0128	The short-term memory module stores relevant information about the past, current, and future states of the world, as well as the corresponding value of the intrinsic cost.
S0129	The world model accesses and updates the short-term memory while temporally predicting future (or past) states of the world, and while spatially completing missing information or correcting inconsistent information about the current world state.
S0130	The world model can send queries to the short-term memory and receive retrieved values, or store new values of states.
S0131	The critic module can be trained by retrieving past states and associated intrinsic costs from the memory.
S0132	The architecture may be similar to that of Key-Value Memory Networks (Miller et al., 2016) This module can be seen as playing some of same roles as the hippocampus in vertebrates.
S0133	The actor module computes proposals for sequences of actions and outputs actions to the effectors.
S0134	The actor proposes a sequence of actions to the world model.
S0135	The world model predicts future world state sequences from the action sequence, and feeds it to the cost.
S0136	Given a goal defined by the cost (as configured by the configurator), the cost computes the estimated future energy associated with the proposed action sequence.
S0137	Since the actor has access to the gradient of the estimated cost with respect to the proposed action sequence, it can compute an optimal action sequence that minimizes the estimated cost using gradientbased methods.
S0138	If the action space is discrete, dynamic programming may be used to find an optimal action sequence.
S0139	Once the optimization is completed, the actor outputs the first action (or a short sequence of actions) to the effectors.
S0140	This process is akin to model-predictive control in optimal control (Bryson and Ho, 1969).
S0141	The actor may comprise two components: (1) a policy module that directly produces an action from the world state estimate produced by the perception and retrieved from the short-term memory, and (2) the action optimizer, as described above, for model-predictive control.
S0142	The first mode is similar to Daniel Kahneman’s “System 1”, while the second mode is similar to “System 2” (Kahneman, 2011) In the following, we will use specific symbols to represent various components in architectural diagrams.
S0143	An brief explanation is given in Appendix 8.3.3.
S0144	Figure 3: Mode-1 perception-action episode.
S0145	The perception module estimates the state of the world s[0] = Enc(x).
S0146	The actor directly computes an action, or a short sequence of actions, through a policy module a[0] = A(s[0]).
S0147	This reactive process does not make use of the world model nor of the cost.
S0148	The cost module computes the energy of the initial state f [0] = C(s[0]) and stores the pairs (s[0], f [0]) in the short-term memory.
S0149	Optionally, it may also predict the next state using the world model s[1] = Pred(s[0], a[0]), and the associated energy f [0] = C(s[0]) so that the world model can be adjusted once the next observation resulting from the action taken becomes available.
S0150	There are two possible modes that the model can employ for a perception-action episode.
S0151	The first one involves no complex reasoning, and produces an action directly from the output of the perception and a possible short-term memory access.
S0152	We will call it “Mode-1”, by analogy with Kahneman’s “System 1”.
S0153	The second mode involves reasoning and planning through the world model and the cost.
S0154	It is akin to model-predictive control (MPC), a classical planning and reasoning paradigm in optimal control and robotics.
S0155	We will call it “Mode-2” by analogy to Kahneman’s “System 2”.
S0156	We use the term “reasoning” in a broad sense here to mean constraint satisfaction (or energy minimization).
S0157	Many types of reasoning can be viewed as forms of energy minimization.
S0158	3.1.1 A perception-action episode for Mode-1 is depicted in Figure 3.
S0159	The perception module, through an encoder module, extracts a representation of the state of the world s[0] = Enc(x) containing relevant information for the task at hand.
S0160	A policy module, a component of the actor, produces an action as a function of the state a[0] = A(s[0]).
S0161	The resulting action is sent to the effectors.
S0162	The function of the policy module is modulated by the configurator, which configures it for the task at hand.
S0163	The policy module implements a purely reactive policy that does not involve deliberate planning nor prediction through the world model.
S0164	Yet, its structure can be quite sophisticated.
S0165	For example, in addition to the state s[0], the policy module may access the short-term memory to acquire a more complete information about previous world states.
S0166	It may use the short-term memory for the associative retrieval of an action given the current state.
S0167	While the cost module is differentiable, its output f [0] = C(s[0]) is indirectly influenced by previous actions through the external world.
S0168	Since the world is not differentiable, one cannot back-propagate gradients from the cost through the chain cost ← perception ← world ← action.
S0169	In this mode, gradients of the cost f [0] with respect to actions can only be estimated by polling the world with multiple perturbed actions, but that is slow and potentially dangerous.
S0170	This process would correspond to classical policy gradient methods in reinforcement learning. (Policy-gradient methods improve an action policy by nudging it toward actions that led to better outcomes.)
S0171	During Mode-1, the system can optionally adjust the world model.
S0172	It runs the world model for one step, predicting the next state s[1], then it waits for the next sensory input resulting from the action taken, and uses the observed world state as a target for the predictor.
S0173	With the use of a world model, the agent can imagine courses of actions and predict their effect and outcome, lessening the need to perform an expensive and dangerous search for good actions and policies by trying multiple actions in the external world and measuring the result.
S0174	3.1.2 A typical perception-action episode for Mode 2 is depicted in Figure 4.
S0175	1. perception: the perception system extract a representation of the current state of the world s[0] = P (x).
S0176	The cost module computes and stores the immediate cost associated with that state.
S0177	2. action proposal: the actor proposes an initial sequence of actions to be fed to the world model for evaluation (a[0],..., a[t],..., a[T ]).
S0178	3. simulation: the world model predicts one or several likely sequence of world state representations resulting from the proposed action sequence (s[1],..., s[t],..., s[T ]).
S0179	4. evaluation: the cost module estimates a total cost from the predicted state sequence, P generally as a sum over time steps F (x) = Tt=1 C(s[t]) 5. planning: the actor proposes a new action sequence with lower cost.
S0180	This can be done through a gradient-based procedure in which gradients of the cost are back-propagated through the compute graph to the action variables.
S0181	The resulting minimum-cost action sequence is denoted (ǎ[0],..., ǎ[T ]).
S0182	Full optimization may require iterating steps 2-5.
S0183	6. acting: after converging on a low-cost action sequence, the actor sends the first action (or first few actions) in the low-cost sequence to the effectors.
S0184	The entire process is repeated for the next perception-action episode.
S0185	7. memory: after every action, the states and associated costs from the intrinsic cost and the critic are stored in the short-term memory.
S0186	These pairs can be used later to train or adapt the critic.
S0187	This procedure is essentially what is known as Model-Predictive Control (MPC) with receding horizon in the optimal control literature.
S0188	The difference with classical optimal control is that the world model and the cost function are learned.
S0189	In principle, any form of optimization strategy can be used, for step 5.
S0190	While gradientbased optimization methods can be efficient when the world model and cost are wellbehaved, situations in which the action-cost mapping has discontinuities may require to use other optimization strategies, particularly if the state and/or action spaces can be discretized.
S0191	These strategies include dynamic programming, combinatorial optimization, simulate annealing and other gradient-free methods, heuristic search techniques (e.g. tree search with pruning), etc.
S0192	To simplify, the process was described in the deterministic case, i.e. when there is no need to handle the possibility of multiple predictions for s[t + 1] resulting from a given initial state s[t] and action a[t].
S0193	In real situations, the world is likely to be somewhat unpredictable.
S0194	Multiple states may result from a single initial state and action due to the fact that the world is intrinsically stochastic (aleatoric uncertainty), or that the state representation s[t] contains incomplete information about the true world state (epistemic uncertainty), or that the world model’s prediction accuracy is imperfect due to limited training data, representational power, or computational constraints.
S0195	Figure 4: Mode-2 perception-action episode.
S0196	The perception module estimates the state of the world s[0].
S0197	The actor proposes a sequence of actions a[0], a[1],..., a[t], a[t + 1],..., a[T ].
S0198	The world model recursively predicts an estimate of the world state sequence using s[t + 1] = Pred(s[t], a[t]).
S0199	The cost C(s[t]) computes an energy for each predicted state in the sequence, the total energy being the sum of them.
S0200	Through an optimization or search procedure, the actor infers a sequence of actions that minimizes the total energy.
S0201	It then sends the first action in the sequence (or the first few actions) to the effectors.
S0202	This is, in effect, an instance of classical model-predictive control with recedinghorizon planning.
S0203	Since the cost and the model are differentiable, gradient-based methods can be used to search for optimal action sequences as in classical optimal control.
S0204	Since the total energy is additive over time, dynamic programming can also be used, particularly when the action space is small and discretized.
S0205	Pairs of states (computed by the encoder or predicted by the predictor) and corresponding energies from the intrinsic cost and the trainable critic are stored in the short-term memory for subsequent training of the critic.
S0206	Figure 5: Training a reactive policy module from the result of Mode-2 reasoning.
S0207	Using Mode-2 is onerous, because it mobilizes all the resources of the agent for the task at hand.
S0208	It involves running the world model for multiple time steps repeatedly.
S0209	This diagram depicts how to train a policy module A(s[t]) to approximate the action that results from Mode-2 optimization.
S0210	The system first operates in Mode-2 and produces an optimal sequence of actions (ǎ[0],..., ǎ[T ]).
S0211	Then the parameters of the policy module are adjusted to minimize a divergence D(ǎ[t]), A(s[t])) between the optimal action and the output of the policy module.
S0212	This results in a policy module that performs amortized inference, and produces an approximation for a good action sequence. (Amortized inference means training a shortcut network to guess a good hidden-variable setting instead of solving the full optimization from scratch every time.)
S0213	The policy module can then be used to produce actions reactively in Mode-1, or to initialize the action sequence prior to Mode-2 inference and thereby accelerate the optimization.
S0214	Using Mode-2 is onerous.
S0215	The agent only possesses one world model “engine”.
S0216	It is configurable by the configurator for the task at hand, but it can only be used for a single task at a time.
S0217	Hence, similarly to humans, the agent can only focus on one complex task at a time.
S0218	Mode-1 is considerably less onerous, since it only requires a single pass through a policy module.
S0219	The agent may possess multiple policy modules working simultaneously, each task-specific for a particular set of tasks.
S0220	The process described in Figure 5 shows how a policy module A(s[t]) can be trained to produce approximations of the optimal actions resulting from Mode-2 reasoning.
S0221	The system is run on Mode-2, producing an optimal action sequence (ǎ[0],..., ǎ[t],..., ǎ[T ]).
S0222	Then, the parameters of the policy module A(s[t]) are updated to minimize a divergence measure between its output and the optimal action at that time D(ǎ[t], A(s[t])).
S0223	Once properly trained, the policy module can be used to directly produce an action in Mode-1 ã[0] = A(s[0]).
S0224	It can also be used to recursively compute an initial action sequence proposal before Mode-2 optimization: s[t + 1] = Pred(s[t], a[t]); ã[t + 1] = A(s[t + 1]) The policy module can be seen as performing a form of amortized inference.
S0225	This process allows the agent to use the full power of its world model and reasoning capabilities to acquire new skills that are then “compiled” into a reactive policy module that no longer requires careful planning.
S0226	3.1.4 The process of elaborating a suitable action sequence in Mode-2 can be seen as a form of reasoning.
S0227	This form of reasoning is based on simulation using the world model, and...
S0228	... s Figure 6: Architecture of the cost module.
S0229	The cost module comprises the intrinsic cost module which is immutable ICi (s) (left) and the critic or Trainable Cost TCj (s) (right), which is trainable.
S0230	Both IC and TC are composed of multiple submodules whose output energies are linearly combined.
S0231	Each submodule imparts a particular behavioral drive in the agent.
S0232	The weights in the linear combination, ui and vj, are determined by the configurator module and allow the agent to focus on different subgoals at different times. optimization of the energy with respect to action sequences.
S0233	More generally, the “actions” can be seen as hidden variables representing abstract transformations from one state to the next.
S0234	This type of planning though simulation and optimization may constitute the kind of reasoning that is most frequent in natural intelligence.
S0235	Many classical forms of reasoning in AI can actually be formulated as optimization problems (or constraint satisfaction problems).
S0236	It is certainly the case for the kind of probabilistic inference performed with factor graphs and probabilistic graphical models.
S0237	The proposed architecture is, in fact, a factor graph in which the cost modules are log factors. (A factor graph is a graphical way to show variables and the constraints or scoring terms that connect them.)
S0238	But the kind of reasoning that the proposed architecture enables goes beyond traditional logical and probabilistic reasoning.
S0239	It allows reasoning by simulation and by analogy.
S0240	The overall architecture of the cost module is shown in Figure 6.
S0241	It is composed of the intrinsic cost module which is immutable ICi (s) and the critic or Trainable Cost TCj (s), which is trainable.
S0242	Both IC and TC are composed of multiple submodules whose output energies are linearly combined C(s) = IC(s) + TC(s) IC(s) = k X i=1 TC(s) = j=1 Each submodule imparts a particular behavioral drive to the agent.
S0243	The weights in the linear combination, ui and vj, are modulated by the configurator module and allow the agent to focus on different subgoals at different times.
S0244	The intrinsic cost module (IC) is where the basic behavioral nature of the agent is defined.
S0245	It is where basic behaviors can be indirectly specified.
S0246	For a robot, these terms would include obvious proprioceptive measurements corresponding to “pain”, “hunger”, and “instinctive fears”, measuring such things as external force overloads, dangerous electrical, chemical, or thermal environments, excessive power consumption, low levels of energy reserves in the power source, etc.
S0247	They may also include basic drives to help the agent learn basic skills or accomplish its missions.
S0248	For example, a legged robot may comprise an intrinsic cost to drive it to stand up and walk.
S0249	This may also include social drives such as seeking the company of humans, finding interactions with humans and praises from them rewarding, and finding their pain unpleasant (akin to empathy in social animals).
S0250	Other intrinsic behavioral drives, such as curiosity, or taking actions that have an observable impact, may be included to maximize the diversity of situations with which the world model is trained (Gottlieb et al., 2013) The IC can be seen as playing a role similar to that of the amygdala in the mammalian brain and similar structures in other vertebrates.
S0251	To prevent a kind of behavioral collapse or an uncontrolled drift towards bad behaviors, the IC must be immutable and not subject to learning (nor to external modifications).
S0252	The role of the critic (TC) is twofold: (1) to anticipate long-term outcomes with minimal use of the onerous world model, and (2) to allow the configurator to make the agent focus on accomplishing subgoals with a learned cost.
S0253	In general, the behavioral nature of an AI agent can be specified in four ways: 1. by explicitly programming a specific behavior activated when specific conditions are met 2. by defining an objective function in such a way that the desired behavior is executed by the agent as a result of finding action sequences that minimize the objective.
S0254	3. by training the agent to behave a certain way through direct supervision.
S0255	The agent observes the actions of an expert teacher, and trains a Mode-1 policy module to reproduce it.
S0256	4. by training the agent through imitation learning.
S0257	The agent observes expert teachers, and infers an objective function that their behavior appears to be optimizing when they act.
S0258	This produces a critic submodule for Mode-2 behavior.
S0259	This process is sometimes called inverse reinforcement learning.
S0260	The second method is considerably simpler to engineer than the first one, because it merely requires to design an objective, and not design a complete behavior.
S0261	The second method is also more robust: a preordained behavior may be invalidated by unexpected conditions or a changing environment.
S0262	With an objective, the agent may adapt its behavior read...
S0263	...
S0264	...
S0265	... to satisfy the objective despite unexpected conditions and changes in the environment.
S0266	The second method exploits the learning and inference abilities of the agent to minimize the amount of priors hard-wired by the designer that are likely to be brittle.
S0267	Figure 7: Training the critic.
S0268	During planning episodes, the intrinsic cost module stores triplets (time, state, intrinsic energy): (τ, sτ, IC(sτ )) into the associative short-term memory.
S0269	During critic training episodes, the critic retrieves a past state vector sτ, together with an intrinsic energy at a later time IC(sτ +δ ).
S0270	In the simplest scenario, the critic adjusts its parameters to minimize a divergence measure between the target IC(stau+δ ) and the predicted energy C(sτ ).
S0271	In more complex schemes, it may use combinations of future intrinsic energies as targets.
S0272	Note that the state sequence may contain information about the actions planned or taken by the agent.
S0273	An essential question is how to train the critic.
S0274	The principal role of the critic is to predict future values of the intrinsic energy.
S0275	To do so, it uses the short-term memory module.
S0276	This module is an associative memory in which the intrinsic cost module stores triplets (time, state, intrinsic energy): (τ, sτ, IC(sτ )).
S0277	The stored states and corresponding intrinsic energies may correspond to a perceived state or to a state imagined by the world model during a Mode-2 episode.
S0278	The memory may retrieve a state sτ given a time τ, and may retrieve an energy IC(sτ ) given a time τ or a state sτ.
S0279	With a suitable memory architecture, the retrieval may involve interpolations of keys and retrieved values.
S0280	The process is shown in Figure 7 The critic can be trained to predict future intrinsic energy values by retrieving a past state vector sτ together with an intrinsic energy at a later time IC(sτ +δ ).
S0281	The parameters of the critic can then be optimized to minimize a prediction loss, for example ||IC(sτ +δ ) − T C(sτ )||2.
S0282	This is a simple scenario.
S0283	More complex schemes can be devised to predict expectations of discounted future energies, or distributions thereof.
S0284	Note that the state vectors may contain information about the actions taken or imagined by the actor.
S0285	At a general level, this is similar to critic training methods used in such reinforcement learning approaches as A2C.
S0286	The short-term memory can be implemented as the memory module in a key-value memory network ??: a query vector is compared to a number of key vectors, producing a vector of scores.
S0287	The scores are normalized and used as coefficients to output a linear combination of the stored values.
S0288	It can be seen as a “soft” associative memory capable of interpolation.
S0289	One advantage of it is that, with a proper allocation scheme of new key/value slots, it is capable of one-shot learning, yet can interpolate between keys and is end-to-end differentiable.
S0290	Arguably, designing architectures and training paradigms for the world model constitute the main obstacles towards real progress in AI over the next decades.
S0291	One of the main contributions of the present proposal is precisely a multi-level architecture and a training procedure for world models that can represent multiple outcomes in their predictions.
S0292	Training the world model is a prototypical example of Self-Supervised Learning (SSL), whose basic idea is pattern completion.
S0293	The prediction of future inputs (or temporarily unobserved inputs) is a special case of pattern completion.
S0294	In this work, the primary purpose of the world model is seen as predicting future representations of the state of the world.
S0295	There are three main issues to address.
S0296	First, quite evidently, the quality of the world model will greatly depend on the diversity of state sequences, or triplets of (state, action, resulting state) it is able to observe while training.
S0297	Second, because the world is not entirely predictable, there may be multiple plausible world state representations that follow a given world state representation and an action from the agent.
S0298	The world model must be able to meaningfully represent this possibly-infinite collection of plausible predictions.
S0299	Third, the world model must be able to make predictions at different time scales and different levels of abstraction.
